Name,Type,Parent dir,Size
csv_obj.csv,File,home_work,517
c_1,Dir,home_work,68079
c_2,Dir,c_1,61196
c_4,Dir,c_2,61075
c_5,Dir,c_4,61075
f_7.txt,File,c_5,0
photo_2022-11-22_13-38-04.jpg,File,c_5,61075
f_6.txt,File,c_4,0
c_8,Dir,c_2,61075
f_10.txt,File,c_8,0
f_3.txt,File,c_2,0
f_4.txt,File,c_2,0
c_3,Dir,c_1,61196
f_5.txt,File,c_3,0
yyhhy.txt,File,c_3,121
f_1.txt,File,c_1,0
f_2.txt,File,c_1,0
json_obj.json,File,home_work,3685
pickle_obj.pickle,File,home_work,849
task_home.py,File,home_work,1809
__init__.py,File,home_work,23
